,tracking_number,pallet_id,scac,partition,received_ts,inducted_ts,sorted_ts,current_queue
0,PKG000001,1,FDEG,FDEG,54.466015405861626,55.88506302490925,56.26536605521228,queue_national_carrier_sort
1,PKG000002,1,FDEG,FDEG,54.466015405861626,55.88506302490925,56.28203272187895,queue_national_carrier_sort
2,PKG000003,1,FDEG,FDEG,54.466015405861626,55.88506302490925,56.298699388545614,queue_national_carrier_sort
3,PKG000005,1,UPSN,UPSN,54.466015405861626,55.97077731062354,56.35108034092657,queue_national_carrier_sort
4,PKG000007,1,UPSN,UPSN,54.466015405861626,55.987443977290205,56.62900241884865,queue_national_carrier_sort
5,PKG000008,1,UPSN,UPSN,54.466015405861626,56.00411064395687,56.645669085515316,queue_national_carrier_sort
6,PKG000009,1,UPSN,UPSN,54.466015405861626,56.05649159633783,56.66233575218198,queue_national_carrier_sort
7,PKG000010,1,UPSN,UPSN,54.466015405861626,56.05649159633783,56.71471670456294,queue_national_carrier_sort
8,PKG000011,1,UPSN,UPSN,54.466015405861626,56.073158263004494,56.99263878248502,queue_national_carrier_sort
9,PKG000012,1,FDEG,FDEG,54.466015405861626,56.08982492967116,57.00930544915168,queue_national_carrier_sort
10,PKG000014,1,USPS,USPS,54.466015405861626,56.14220588205212,57.02597211581835,queue_national_carrier_sort
11,PKG000016,1,USPS,USPS,54.466015405861626,56.17553921538545,57.078353068199306,queue_national_carrier_sort
12,PKG000017,1,USPS,USPS,54.466015405861626,56.227920167766406,57.356275146121384,queue_national_carrier_sort
13,PKG000019,1,UPSN,UPSN,54.466015405861626,56.24458683443307,57.37294181278805,queue_national_carrier_sort
14,PKG000021,1,FDEG,FDEG,54.466015405861626,56.313634453480695,57.389608479454715,queue_national_carrier_sort
15,PKG000022,1,USPS,USPS,54.466015405861626,56.313634453480695,57.44198943183567,queue_national_carrier_sort
16,PKG000024,1,USPS,USPS,54.466015405861626,56.34696778681403,57.71991150975775,queue_national_carrier_sort
17,PKG000025,1,FDEG,FDEG,54.466015405861626,56.399348739194984,57.736578176424416,queue_national_carrier_sort
18,PKG000026,1,USPS,USPS,54.466015405861626,56.399348739194984,57.75324484309108,queue_national_carrier_sort
19,PKG000027,1,FDEG,FDEG,54.466015405861626,56.41601540586165,57.80562579547204,queue_national_carrier_sort
20,PKG000028,1,FDEG,FDEG,54.466015405861626,56.432682072528316,58.08354787339412,queue_national_carrier_sort
21,PKG000029,1,USPS,USPS,54.466015405861626,56.48506302490927,58.10021454006078,queue_national_carrier_sort
22,PKG000030,1,UPSN,UPSN,54.466015405861626,56.48506302490927,58.11688120672745,queue_national_carrier_sort
23,PKG000031,1,UPSN,UPSN,54.466015405861626,56.50172969157594,58.169262159108406,queue_national_carrier_sort
24,PKG000032,1,USPS,USPS,54.466015405861626,56.518396358242605,58.447184237030484,queue_national_carrier_sort
25,PKG000033,1,UPSN,UPSN,54.466015405861626,56.57077731062356,58.46385090369715,queue_national_carrier_sort
26,PKG000034,1,FDEG,FDEG,54.466015405861626,56.57077731062356,58.480517570363816,queue_national_carrier_sort
27,PKG000035,1,UPSN,UPSN,54.466015405861626,56.58744397729023,58.53289852274477,queue_national_carrier_sort
28,PKG000037,1,UPSN,UPSN,54.466015405861626,56.65649159633785,58.81082060066685,queue_national_carrier_sort
29,PKG000041,1,FDEG,FDEG,54.466015405861626,56.74220588205214,58.82748726733352,queue_national_carrier_sort
30,PKG000043,1,FDEG,FDEG,54.466015405861626,56.758872548718806,58.84415393400018,queue_national_carrier_sort
31,PKG000044,1,UPSN,UPSN,54.466015405861626,56.77553921538547,58.89653488638114,queue_national_carrier_sort
32,PKG000045,1,USPS,USPS,54.466015405861626,56.82792016776643,59.17445696430322,queue_national_carrier_sort
33,PKG000046,1,UPSN,UPSN,54.466015405861626,56.82792016776643,59.191123630969884,queue_national_carrier_sort
34,PKG000047,1,USPS,USPS,54.466015405861626,56.844586834433095,59.20779029763655,queue_national_carrier_sort
35,PKG000049,1,FDEG,FDEG,54.466015405861626,56.91363445348072,59.26017125001751,queue_national_carrier_sort
36,PKG000051,1,USPS,USPS,54.466015405861626,56.930301120147384,59.538093327939585,queue_national_carrier_sort
37,PKG000052,2,UPSN,UPSN,55.79934873919496,57.218396358242586,59.55475999460625,queue_national_carrier_sort
38,PKG000053,2,UPSN,UPSN,55.79934873919496,57.218396358242586,59.571426661272916,queue_national_carrier_sort
39,PKG000054,2,UPSN,UPSN,55.79934873919496,57.218396358242586,59.623807613653874,queue_national_carrier_sort
40,PKG000055,2,UPSN,UPSN,55.79934873919496,57.218396358242586,59.90172969157595,queue_national_carrier_sort
41,PKG000056,2,UPSN,UPSN,55.79934873919496,57.304110643956875,59.91839635824262,queue_national_carrier_sort
42,PKG000057,2,UPSN,UPSN,55.79934873919496,57.304110643956875,59.93506302490928,queue_national_carrier_sort
43,PKG000059,2,USPS,USPS,55.79934873919496,57.33744397729021,59.98744397729024,queue_national_carrier_sort
44,PKG000060,2,FDEG,FDEG,55.79934873919496,57.389824929671164,60.26536605521232,queue_national_carrier_sort
45,PKG000061,2,FDEG,FDEG,55.79934873919496,57.389824929671164,60.282032721878984,queue_national_carrier_sort
46,PKG000063,2,USPS,USPS,55.79934873919496,57.423158263004495,60.29869938854565,queue_national_carrier_sort
47,PKG000065,2,UPSN,UPSN,55.79934873919496,57.47553921538545,60.35108034092661,queue_national_carrier_sort
48,PKG000066,2,UPSN,UPSN,55.79934873919496,57.49220588205212,60.629002418848685,queue_national_carrier_sort
49,PKG000067,2,UPSN,UPSN,55.79934873919496,57.508872548718784,60.64566908551535,queue_national_carrier_sort
50,PKG000068,2,UPSN,UPSN,55.79934873919496,57.56125350109974,60.66233575218202,queue_national_carrier_sort
51,PKG000069,2,USPS,USPS,55.79934873919496,57.56125350109974,60.714716704562974,queue_national_carrier_sort
52,PKG000070,2,UPSN,UPSN,55.79934873919496,57.57792016776641,60.99263878248505,queue_national_carrier_sort
53,PKG000071,2,USPS,USPS,55.79934873919496,57.59458683443307,61.00930544915172,queue_national_carrier_sort
54,PKG000072,2,USPS,USPS,55.79934873919496,57.64696778681403,61.025972115818384,queue_national_carrier_sort
55,PKG000075,2,USPS,USPS,55.79934873919496,57.68030112014736,61.07835306819934,queue_national_carrier_sort
56,PKG000076,2,UPSN,UPSN,55.79934873919496,57.73268207252832,61.35627514612142,queue_national_carrier_sort
57,PKG000077,2,USPS,USPS,55.79934873919496,57.73268207252832,61.372941812788085,queue_national_carrier_sort
58,PKG000079,2,FDEG,FDEG,55.79934873919496,57.76601540586165,61.38960847945475,queue_national_carrier_sort
59,PKG000081,2,UPSN,UPSN,55.79934873919496,57.81839635824261,61.44198943183571,queue_national_carrier_sort
60,PKG000082,2,UPSN,UPSN,55.79934873919496,57.835063024909275,61.719911509757786,queue_national_carrier_sort
61,PKG000084,2,UPSN,UPSN,55.79934873919496,57.9041106439569,61.73657817642445,queue_national_carrier_sort
